time_us,x,y,rz_rad,s0,s1,s2,s3
7301024.000000,246.000000,144.000000,1.989678,128.229614,38.593750,-1.000000,23.318296
7314778.000000,246.000000,144.000000,2.002768,123.749489,37.179611,-1.000000,22.911222
7335783.000000,246.000000,144.000000,2.015858,119.533524,35.860516,-1.000000,22.515686
7349421.000000,246.000000,144.000000,2.028948,115.559120,34.628311,-1.000000,22.131433
7370326.000000,246.000000,144.000000,2.042038,111.806107,33.475910,-1.000000,21.758171
7384036.000000,246.000000,144.000000,2.055128,108.256622,32.396812,-1.000000,21.395636
7398239.000000,246.000000,144.000000,2.068218,104.894615,31.385380,-1.000000,21.043566
7418869.000000,246.000000,144.000000,2.081307,101.705612,30.436396,-1.000000,20.701693
7432919.000000,246.000000,144.000000,2.094397,98.676743,29.545290,-1.000000,20.369822
7453516.000000,246.000000,144.000000,2.107487,95.796219,28.707874,-1.000000,20.047716
7467507.000000,246.000000,144.000000,2.120577,93.053612,27.920399,-1.000000,19.735155
7481251.000000,246.000000,144.000000,2.133667,90.439186,27.179457,-1.000000,19.431973
7502300.000000,246.000000,144.000000,2.146757,87.944275,26.481928,-1.000000,19.137928
7515965.000000,246.000000,144.000000,2.159847,85.560928,25.825018,-1.000000,18.852892
7536768.000000,246.000000,144.000000,2.172937,83.281906,25.206127,-1.000000,18.576674
7550531.000000,246.000000,144.000000,2.186027,81.100533,24.622913,-1.000000,18.309113
7564689.000000,246.000000,144.000000,2.199116,79.010765,24.073210,-1.000000,18.050056
7585366.000000,246.000000,144.000000,2.212206,77.007042,23.555105,-1.000000,17.799353
7599417.000000,246.000000,144.000000,2.225296,75.084183,23.066708,-1.000000,17.556890
7620036.000000,246.000000,144.000000,2.238386,73.237457,22.606361,-1.000000,17.322506
7633764.000000,246.000000,144.000000,2.251476,71.462494,22.172550,-1.000000,17.096107
7647736.000000,246.000000,144.000000,2.264566,69.755280,21.763844,-1.000000,16.877594
7668781.000000,246.000000,144.000000,2.277656,68.112083,21.378948,-1.000000,16.666809
7682480.000000,246.000000,144.000000,2.290746,66.529404,21.016615,-1.000000,16.463715
7703292.000000,246.000000,144.000000,2.303836,65.004059,20.675747,-1.000000,16.268175
7717036.000000,246.000000,144.000000,2.316926,63.533031,20.355297,-1.000000,16.080130
7731017.000000,246.000000,144.000000,2.330015,62.113533,20.054293,-1.000000,15.899475
7751790.000000,246.000000,144.000000,2.343105,60.743008,19.771801,-1.000000,15.726171
7765696.000000,246.000000,144.000000,2.356195,59.419003,19.507055,-1.000000,15.560150
7786547.000000,246.000000,144.000000,2.369285,58.139263,19.259228,-1.000000,15.401314
7800320.000000,246.000000,144.000000,2.382375,56.901680,19.027569,-1.000000,15.249641
7814249.000000,246.000000,144.000000,2.395465,55.704292,18.811428,-1.000000,15.105105
7835067.000000,246.000000,144.000000,2.408555,54.545227,18.610199,-1.000000,14.967627
7848919.000000,246.000000,144.000000,2.421645,53.422722,18.423246,-1.000000,14.837173
7869846.000000,246.000000,144.000000,2.434735,52.335171,18.250011,-1.000000,14.713738
7883514.000000,246.000000,144.000000,2.447824,51.281059,18.090015,-1.000000,14.597294
7897511.000000,246.000000,144.000000,2.460914,50.258892,17.942741,-1.000000,14.487828
7918508.000000,246.000000,144.000000,2.474004,49.267361,17.807755,-1.000000,14.385296
7932180.000000,246.000000,144.000000,2.487094,48.428738,17.684624,-1.000000,14.289731
7953229.000000,246.000000,144.000000,2.500184,47.492386,17.572933,180.998642,14.201099
7966815.000000,246.000000,144.000000,2.513274,46.583118,17.472334,163.964493,14.119452
7980868.000000,246.000000,144.000000,2.526364,45.699833,17.382473,149.576645,14.044782
8001702.000000,246.000000,144.000000,2.539454,44.841534,17.302996,137.267593,13.977104
8015551.000000,246.000000,144.000000,2.552544,44.007225,17.233618,126.657021,13.916433
8036286.000000,246.000000,144.000000,2.565634,43.196033,17.174038,117.365913,13.862809
8050277.000000,246.000000,144.000000,2.578723,42.407055,17.124006,109.185692,13.816292
8064009.000000,246.000000,144.000000,2.591813,41.639465,17.083252,101.931198,13.776927
8085071.000000,246.000000,144.000000,2.604903,40.892521,17.051514,95.456375,13.744719
8098679.000000,246.000000,144.000000,2.617993,40.165485,17.028616,89.644272,13.719777
8119664.000000,246.000000,144.000000,2.631083,39.457596,17.014328,84.400253,13.702124
8133290.000000,246.000000,144.000000,2.644173,38.768280,17.008451,79.646873,13.691867
8147296.000000,246.000000,144.000000,2.657263,38.096840,17.010796,75.320129,13.689082
8168136.000000,246.000000,144.000000,2.670353,37.442722,17.021208,71.366859,13.693859
8182101.000000,246.000000,144.000000,2.683443,36.805302,17.039534,67.742287,13.706270
8202735.000000,246.000000,144.000000,2.696532,36.184052,17.065598,64.408432,13.726457
8216875.000000,246.000000,144.000000,2.709622,35.578506,17.099285,61.333199,13.754498
8230510.000000,246.000000,144.000000,2.722712,34.988117,17.140457,58.488792,13.790525
8251521.000000,246.000000,144.000000,2.735802,34.412430,17.188990,55.851425,13.834668
8265174.000000,246.000000,144.000000,2.748892,33.850990,17.244799,53.400517,13.887082
8285989.000000,246.000000,144.000000,2.761982,33.303402,17.307758,51.118008,13.947900
8299759.000000,246.000000,144.000000,2.775072,32.769234,17.377768,48.988243,14.017319
8313967.000000,246.000000,144.000000,2.788162,32.248093,17.454775,46.997299,14.095441
8334581.000000,246.000000,144.000000,2.801252,31.739616,17.538696,45.133030,14.182526
8348668.000000,246.000000,144.000000,2.814342,31.243498,17.629459,43.606216,14.278726
8369268.000000,246.000000,144.000000,2.827431,30.759319,17.726982,41.955101,14.384245
8383031.000000,246.000000,144.000000,2.840521,30.286840,17.831253,40.402355,14.499335
8396961.000000,246.000000,144.000000,2.853611,29.825689,17.942156,38.940292,14.624230
8417817.000000,246.000000,144.000000,2.866701,29.375607,18.059713,37.561958,14.759142
8431708.000000,246.000000,144.000000,2.879791,28.936314,18.183868,36.261173,14.904351
8452496.000000,246.000000,144.000000,2.892881,28.507530,18.314571,35.032257,15.060185
8466274.000000,246.000000,144.000000,2.905971,28.089024,18.451851,33.870144,15.226890
8480261.000000,246.000000,144.000000,2.919061,27.680531,18.595636,32.770298,15.404818
8501106.000000,246.000000,144.000000,2.932151,27.281847,18.745956,31.728462,15.594288
8514978.000000,246.000000,144.000000,2.945240,26.892715,18.902771,30.740845,15.795667
8535753.000000,246.000000,144.000000,2.958330,26.512947,19.066095,29.804016,16.009325
8549519.000000,246.000000,144.000000,2.971420,26.142336,19.235964,28.914772,16.235685
8563571.000000,246.000000,144.000000,2.984510,25.780718,19.412342,28.070187,16.475170
8584347.000000,246.000000,144.000000,2.997600,25.427887,19.595289,27.267628,16.728241
8598191.000000,246.000000,144.000000,3.010690,25.083664,19.784788,26.504595,16.995373
8618943.000000,246.000000,144.000000,3.023780,24.747871,19.980923,25.778881,17.277071
8632767.000000,246.000000,144.000000,3.036870,24.420403,20.183672,25.088367,17.573917
8646729.000000,246.000000,144.000000,3.049960,24.101059,20.393105,24.431120,17.886522
8667569.000000,246.000000,144.000000,3.063050,23.789719,20.609243,23.805416,18.215420
8681444.000000,246.000000,144.000000,3.076139,23.486271,20.832180,23.209564,18.561333
8702478.000000,246.000000,144.000000,3.089229,23.190542,21.061939,22.642035,18.924980
8715970.000000,246.000000,144.000000,3.102319,22.902460,21.298576,22.101437,19.307068
8730009.000000,246.000000,144.000000,3.115409,22.621893,21.542208,21.586432,19.708450
8750817.000000,246.000000,144.000000,3.128499,22.348719,21.792839,21.095797,20.129971
8764707.000000,246.000000,144.000000,3.141589,22.082840,22.050613,20.628439,20.572529
8785665.000000,246.000000,144.000000,-3.128506,21.824194,22.315599,20.183222,21.037134
8799313.000000,246.000000,144.000000,-3.115417,21.572681,22.587845,19.759161,21.524843
8813230.000000,246.000000,144.000000,-3.102327,21.328205,22.867493,19.355366,22.036787
8834235.000000,246.000000,144.000000,-3.089237,21.090679,23.154663,18.970917,22.574175
8847915.000000,246.000000,144.000000,-3.076147,20.860081,23.449425,18.605089,23.138298
8869003.000000,246.000000,144.000000,-3.063057,20.636326,23.751932,18.257019,23.730602
8882533.000000,246.000000,144.000000,-3.049967,20.419340,24.062290,17.926067,24.352583
8896440.000000,246.000000,144.000000,-3.036877,20.209078,24.380625,17.611517,25.005825
8917260.000000,246.000000,144.000000,-3.023787,20.005518,24.707109,17.312746,25.692165
8931369.000000,246.000000,144.000000,-3.010697,19.808590,25.041847,17.029209,26.413448
8951995.000000,246.000000,144.000000,-2.997607,19.618267,25.385033,16.760323,27.171778
8965984.000000,246.000000,144.000000,-2.984518,19.434513,25.736780,16.505541,27.969362
8979782.000000,246.000000,144.000000,-2.971428,19.257311,26.097324,16.264416,28.808645
9000823.000000,246.000000,144.000000,-2.958338,19.086653,26.466801,16.036476,29.692247
9014377.000000,246.000000,144.000000,-2.945248,18.922518,26.845434,15.821259,29.995491
9035197.000000,246.000000,144.000000,-2.932158,18.764885,27.233387,15.618390,29.348162
9049050.000000,246.000000,144.000000,-2.919068,18.613768,27.630890,15.427495,28.719906
9063172.000000,246.000000,144.000000,-2.905978,18.469189,28.038160,15.248160,28.110018
9083854.000000,246.000000,144.000000,-2.892888,18.331114,28.455427,15.080100,27.517839
9098131.000000,246.000000,144.000000,-2.879798,18.199594,28.882915,14.922961,26.942764
9118466.000000,246.000000,144.000000,-2.866709,18.074623,29.320900,14.776441,26.384212
9132508.000000,246.000000,144.000000,-2.853619,17.956257,29.769608,14.640264,25.841625
9146441.000000,246.000000,144.000000,-2.840529,17.844517,30.229374,14.514160,25.314468
9167098.000000,246.000000,144.000000,-2.827439,17.739426,30.700470,14.397880,24.802250
9180935.000000,246.000000,144.000000,-2.814349,17.641081,31.183161,14.291186,24.304483
9201719.000000,246.000000,144.000000,-2.801259,17.549482,31.677813,14.193854,23.820736
9215493.000000,246.000000,144.000000,-2.788169,17.464718,32.184734,14.105674,23.350561
9229701.000000,246.000000,144.000000,-2.775079,17.386856,32.704288,14.026437,22.893566
9250311.000000,246.000000,144.000000,-2.761989,17.315948,33.236816,13.955970,22.449348
9264161.000000,246.000000,144.000000,-2.748899,17.252123,33.782742,13.894119,22.017557
9284998.000000,246.000000,144.000000,-2.735810,17.195442,34.342445,13.840678,21.597826
9298734.000000,246.000000,144.000000,-2.722720,17.146008,33.700291,13.795512,21.189821
9312800.000000,246.000000,144.000000,-2.709630,17.103909,32.425888,13.758484,20.793224
9333593.000000,246.000000,144.000000,-2.696540,17.069315,31.237993,13.729478,20.407738
9347429.000000,246.000000,144.000000,-2.683450,17.042301,30.129229,13.708360,20.033073
9368219.000000,246.000000,144.000000,-2.670360,17.023014,29.093063,13.694979,19.668957
9382105.000000,246.000000,144.000000,-2.657270,17.011610,28.123676,13.689283,19.315125
9395958.000000,246.000000,144.000000,-2.644180,17.008278,27.215858,13.691132,18.971334
