time,x,y,z,ax,ay,az,aw
1526153134.48,-2.59667181969,0.139307498932,4.97331237793,-0.00463693662186,-0.311061438931,0.00284522858814,0.950374234027,
1526153134.57,-2.64800214767,0.137150213122,5.00941705704,-0.00446525984874,-0.314264802484,0.00238764811953,0.949321860335,
1526153134.67,-2.66845726967,0.13910369575,5.0273141861,-0.00457743580965,-0.316635161136,0.0027619350077,0.948532336575,
1526153134.77,-2.71652197838,0.141753360629,5.05434989929,-0.00454180030439,-0.319154113838,0.00266208389292,0.947688206627,
1526153134.88,-2.7377140522,0.143895596266,5.07221746445,-0.00457648393689,-0.321543982005,0.00301195918628,0.946878794531,
1526153134.97,-2.78033018112,0.146452918649,5.10054636002,-0.00466231276014,-0.323975850515,0.00289347690509,0.946049437881,
1526153135.08,-2.80112171173,0.149593099952,5.11758327484,-0.00430826927119,-0.326510861249,0.00328932733253,0.945177907395,
1526153135.18,-2.8451397419,0.149666011333,5.14039802551,-0.00377747325065,-0.328721116742,0.00299604612752,0.944414729772,
1526153135.27,-2.86617803574,0.152725353837,5.15744972229,-0.00339261169651,-0.331150443723,0.00326384830118,0.943566225075,
1526153135.38,-2.90381169319,0.151370093226,5.18187189102,-0.00394118668703,-0.333225261719,0.00317111003356,0.942833673593,
1526153135.47,-2.92511510849,0.154371574521,5.19825553894,-0.00347883209747,-0.335710206001,0.00354595207317,0.941952218288,
1526153135.58,-2.96572041512,0.153971984982,5.22278690338,-0.00374506785981,-0.337828176872,0.00311445888933,0.941195196293,
1526153135.67,-2.98714065552,0.156537815928,5.23932743073,-0.00333810599894,-0.340293337554,0.00344927807242,0.9403070796,
1526153135.77,-3.02230000496,0.152099564672,5.26183795929,-0.00339866565335,-0.342226333516,0.00299429381431,0.939606630417,
1526153135.88,-3.04374456406,0.155168533325,5.27825498581,-0.00291433377379,-0.344605757378,0.00339375719358,0.938736843345,
1526153135.99,-3.0833337307,0.15237313509,5.30378770828,-0.00372767688777,-0.346575132881,0.00351008490809,0.938008241434,
1526153136.08,-3.10525012016,0.155784666538,5.3197426796,-0.00325407885659,-0.348867398014,0.00405161141884,0.937157688982,
1526153136.17,-3.1452729702,0.153081685305,5.33972120285,-0.00405438665164,-0.351134200546,0.00377856751915,0.936308740525,
1526153136.29,-3.1671833992,0.156692355871,5.35523891449,-0.0034484352883,-0.353505398748,0.00428494414565,0.935416314057,
1526153136.38,-3.20328164101,0.156798511744,5.37405252457,-0.00379308946854,-0.355552996354,0.00390872402913,0.934640252253,
1526153136.48,-3.22566890717,0.160163760185,5.3892326355,-0.00320325541472,-0.357943251998,0.00432528261626,0.933727829421,
1526153136.59,-3.27132368088,0.156113043427,5.40752363205,-0.00352025496105,-0.361046493239,0.00371867011745,0.932533757575,
1526153136.68,-3.29403972626,0.159647837281,5.42239761353,-0.00293751080508,-0.363518249048,0.00415379397133,0.931573185335,
1526153136.8,-3.34172487259,0.155506327748,5.43838834763,-0.00464015151891,-0.366898435174,0.0038653565902,0.930241402153,
1526153136.89,-3.36511421204,0.158757388592,5.4534201622,-0.0041929576724,-0.369564248179,0.00422615352217,0.929186109022,
1526153137.0,-3.41755270958,0.153307288885,5.47440958023,-0.00441164254434,-0.372825759875,0.00389773880432,0.927882696151,
1526153137.09,-3.44130468369,0.156723558903,5.48923635483,-0.00398623378849,-0.375638820344,0.00430834300768,0.926747551802,
1526153137.18,-3.49321889877,0.145952180028,5.50494766235,-0.00437451671175,-0.379027955765,0.00381527089712,0.925367016951,
1526153137.29,-3.51781988144,0.149453505874,5.51887559891,-0.00386526450311,-0.381747429743,0.00410629981515,0.92424947818,
1526153137.38,-3.56788468361,0.152392670512,5.5370426178,-0.00488887366666,-0.385266069609,0.00434754129525,0.922782343463,
1526153137.5,-3.5923781395,0.155611082911,5.5500998497,-0.00463198947443,-0.388161094397,0.0046892613351,0.921567968355,
1526153137.58,-3.63502812386,0.152654960752,5.56103420258,-0.00481103170353,-0.391149109551,0.00408764800365,0.920305666181,
1526153137.69,-3.65963411331,0.155520886183,5.57332134247,-0.00455064077755,-0.394003840455,0.00435005615536,0.919087233285,
1526153137.78,-3.70246291161,0.154497921467,5.57874679565,-0.00489292666648,-0.39677239782,0.00407290886962,0.917894947698,
1526153137.9,-3.72751641273,0.156828641891,5.59025478363,-0.00486756786416,-0.399644798649,0.00417846741195,0.916647632466,
1526153138.01,-3.75946092606,0.151698037982,5.59499740601,-0.0063661857106,-0.402165540825,0.00441812296416,0.915534177211,
1526153138.1,-3.78487539291,0.153752878308,5.60520076752,-0.00639113693519,-0.404841525107,0.00445388161567,0.914353682038,
1526153138.2,-3.81346106529,0.1561229527,5.60220193863,-0.00399917258426,-0.407354987102,0.00363657206778,0.913253905793,
1526153138.3,-3.83803296089,0.157932311296,5.61151838303,-0.00395172306704,-0.410010861197,0.00376854846172,0.912064293582,
1526153138.4,-3.860247612,0.157763704658,5.61477565765,-0.00518039616395,-0.41250152331,0.00405995644301,0.910933133394,
1526153138.51,-3.88377332687,0.159504130483,5.62381839752,-0.00519259788363,-0.415357364001,0.00405256096191,0.909634472657,
1526153138.61,-3.91040682793,0.155849546194,5.62426567078,-0.00529736381476,-0.417185793624,0.0037161838751,0.908798185249,
1526153138.7,-3.93336868286,0.157286018133,5.63213443756,-0.0054304886902,-0.419853581592,0.00359197176911,0.907568497446,
1526153138.8,-3.96380209923,0.15785895288,5.63560724258,-0.005256947123,-0.422181173417,0.00364351090998,0.90648891121,
1526153138.91,-3.98627877235,0.158809766173,5.64241743088,-0.00540678372435,-0.424810142768,0.00350162875161,0.90525954725,
1526153139.0,-4.01673698425,0.160012587905,5.64191675186,-0.0051260824647,-0.42702815859,0.00371586317661,0.904216161883,
1526153139.1,-4.03872585297,0.160723924637,5.64777374268,-0.00524223685534,-0.429595333712,0.00344364736366,0.902999728405,
1526153139.22,-4.06328296661,0.160383924842,5.64347934723,-0.00430841990512,-0.431626185898,0.00217134783887,0.902039665654,
1526153139.32,-4.07987785339,0.159845799208,5.64882659912,-0.00458786075325,-0.433807861736,0.000894632827993,0.900993279809,
